設定項目	設定内容	備考
シナリオ名	もぐラボ_1周目_タイプ別痩せ方訴求	2周目は「もぐラボ_2周目_食べ痩せ訴求」
タグ：流入経路	インフルエンサー名ごとにタグ付与（例：流入_インフルエンサーA）	流入経路URLをインフルエンサーごとに分ける
タグ：LPクリック	LP_クリック済	配信内のURLクリックをトリガーにタグ付与
タグ：診断結果	診断_食欲過剰 / 診断_低代謝 / 診断_栄養不足 / 診断_生活乱れ	回答フォームの結果に応じて自動タグ付与
配信#1	トリガー：友だち追加直後	即時配信
配信#2	トリガー：友だち追加から30分後	経過時間トリガー
配信#3	トリガー：友だち追加から3時間後	経過時間トリガー。テキスト配信のみ（特典配布なし）
配信#4	トリガー：友だち追加翌日以降の最初の20:00	時刻指定配信。当日20:00を過ぎていた場合は翌日20:00
配信#5	トリガー：#4の翌日12:00	時刻指定配信
配信#6	トリガー：#5の当日20:00	時刻指定配信
配信#7	トリガー：#6の翌日8:00	時刻指定配信
配信#8	トリガー：#7の当日20:00	時刻指定配信
配信#9	トリガー：#8の当日23:00	時刻指定配信。条件：「LP_クリック済」タグが付いていない人のみ
リッチメッセージ#1	配信#1に添付	バナー画像「あなたが痩せられなかった本当の理由」
リッチメッセージ#7	配信#7に添付	バナー画像「＼先着15名限定・通常3,000円→無料／」
リマーケティング	1周目終了から5日後に2周目シナリオ開始	訴求軸を「食べ痩せ（我慢しないダイエット）」に変更。配信構成は同じ
計測：流入経路別CV	Lステップのクロス分析でインフルエンサーごとのLPクリック率を計測	成果の悪いインフルエンサーの早期発見
計測：配信別クリック率	各配信のURLクリック率を計測	最もCVに貢献している配信の特定
計測：時間帯別反応率	朝・昼・夜の開封率とクリック率を比較	配信時間の最適化に使用
